FechaHora;Temp;Humedad;Gas;Ph;TempAmbiente;HumedadAmbiente
18/05/2025 9:40;25.53;85.50;122.05;6.48;14.84;71.00
18/05/2025 9:50;25.25;86.83;114.92;6.45;14.23;70.00
18/05/2025 10:00;25.00;83.02;136.22;6.44;15.88;71.00
18/05/2025 10:10;25.62;84.23;108.63;6.43;15.63;72.00
18/05/2025 10:20;25.21;81.40;131.38;6.41;15.31;71.00
18/05/2025 10:30;25.87;82.43;132.06;6.38;15.47;70.00
18/05/2025 10:40;25.37;83.69;110.52;6.34;15.65;70.00
18/05/2025 10:50;26.20;85.00;122.18;6.30;16.01;69.00
18/05/2025 11:00;26.16;83.33;123.95;6.26;17.17;68.00
18/05/2025 11:10;25.39;82.40;103.07;6.22;17.40;67.00
18/05/2025 11:20;24.86;82.58;132.37;6.20;17.43;65.00
18/05/2025 11:30;24.68;81.37;109.68;6.18;16.72;65.00
18/05/2025 11:40;24.32;81.12;111.44;6.15;17.01;66.00
18/05/2025 11:50;24.40;79.72;111.99;6.11;17.51;65.00
18/05/2025 12:00;24.94;79.13;116.14;6.09;18.30;64.00
18/05/2025 12:10;25.93;79.60;134.76;6.08;18.02;64.00
18/05/2025 12:20;26.71;78.25;108.23;6.04;18.01;64.00
18/05/2025 12:30;26.57;80.72;123.94;6.00;18.71;64.00
18/05/2025 12:40;26.42;78.75;92.89;5.99;18.24;65.00
18/05/2025 12:50;26.53;80.58;63.30;5.95;18.06;63.00
18/05/2025 13:00;26.52;78.47;97.78;5.93;20.00;64.00
18/05/2025 13:10;26.43;77.81;69.32;5.89;19.09;63.00
18/05/2025 13:20;25.58;76.35;84.58;5.87;19.42;63.00
18/05/2025 13:30;25.64;76.40;78.38;5.85;19.90;64.00
18/05/2025 13:40;25.48;79.03;63.64;5.81;20.25;64.00
18/05/2025 13:50;24.93;76.78;80.18;5.77;19.35;63.00
18/05/2025 14:00;23.97;75.50;63.11;5.74;20.25;63.00
18/05/2025 14:10;24.26;78.23;80.33;5.72;20.73;62.00
18/05/2025 14:20;24.27;77.06;89.12;5.70;20.34;61.00
18/05/2025 14:30;24.97;77.38;90.42;5.68;20.77;60.00
18/05/2025 14:40;25.06;77.54;78.10;5.66;21.34;60.00
18/05/2025 14:50;24.81;75.98;81.41;5.63;21.12;61.00
18/05/2025 15:00;25.45;74.84;63.30;5.60;19.95;62.00
18/05/2025 15:10;26.03;73.64;84.60;5.58;20.40;62.00
18/05/2025 15:20;25.63;76.36;67.83;5.56;20.65;63.00
18/05/2025 15:30;26.56;76.55;81.95;5.53;20.33;62.00
18/05/2025 15:40;25.86;74.90;79.21;5.50;20.04;63.00
18/05/2025 15:50;26.53;74.34;70.75;5.48;19.91;64.00
18/05/2025 16:00;26.14;72.58;0.00;5.46;19.19;65.00
18/05/2025 16:10;25.91;72.64;78.27;5.42;19.36;64.00
18/05/2025 16:20;26.24;71.09;79.97;5.41;19.10;64.00
18/05/2025 16:30;26.94;71.01;92.22;5.40;19.50;64.00
18/05/2025 16:40;27.31;73.79;77.80;5.36;19.38;65.00
18/05/2025 16:50;28.07;74.70;94.23;5.34;19.74;64.00
18/05/2025 17:00;27.96;70.82;66.14;5.31;19.39;65.00
18/05/2025 17:10;27.24;70.43;94.25;5.34;18.52;64.00
18/05/2025 17:20;26.75;69.63;76.32;5.31;18.93;65.00
18/05/2025 17:30;26.85;72.86;91.27;5.34;18.98;66.00
18/05/2025 17:40;27.57;71.32;83.36;5.32;19.31;67.00
18/05/2025 17:50;26.79;71.51;71.73;5.35;19.36;66.00
18/05/2025 18:00;26.76;69.56;97.27;5.34;18.30;68.00
18/05/2025 18:10;27.19;69.96;83.43;5.32;18.65;66.00
18/05/2025 18:20;27.30;68.85;80.31;5.30;18.50;67.00
18/05/2025 18:30;26.51;69.51;92.84;5.32;18.20;68.00
18/05/2025 18:40;26.98;71.29;84.23;5.37;18.19;69.00
18/05/2025 18:50;26.95;68.71;69.30;5.35;18.05;69.00
18/05/2025 19:00;27.40;90.36;64.39;5.32;9.70;69.00
18/05/2025 19:10;26.83;91.28;83.62;5.36;10.09;68.00
18/05/2025 19:20;26.13;88.59;65.86;5.34;10.94;67.00
18/05/2025 19:30;26.05;88.64;66.28;5.33;10.77;66.00
18/05/2025 19:40;25.26;88.51;93.19;5.32;9.86;66.00
18/05/2025 19:50;24.48;91.23;71.74;5.30;10.47;66.00
18/05/2025 20:00;25.26;90.52;74.50;5.36;9.85;65.00
18/05/2025 20:10;25.23;89.05;68.02;5.34;9.46;64.00
18/05/2025 20:20;24.38;110.00;84.26;5.33;8.78;63.00
18/05/2025 20:30;25.31;90.99;75.60;5.31;10.06;64.00
18/05/2025 20:40;24.57;88.57;97.79;5.34;10.00;64.00
18/05/2025 20:50;23.62;88.53;71.74;5.33;9.64;63.00
18/05/2025 21:00;23.27;90.59;70.96;5.32;8.62;64.00
18/05/2025 21:10;22.88;90.91;97.18;5.36;11.02;65.00
18/05/2025 21:20;21.99;88.52;85.05;5.33;11.47;63.00
18/05/2025 21:30;22.81;90.87;86.03;5.31;10.48;65.00
18/05/2025 21:40;23.10;90.03;83.34;5.35;11.36;64.00
18/05/2025 21:50;22.60;88.52;90.79;5.34;9.41;65.00
18/05/2025 22:00;21.85;89.37;66.55;5.34;9.40;67.00
18/05/2025 22:10;21.10;90.77;84.98;5.34;10.55;66.00
18/05/2025 22:20;21.94;88.71;65.37;5.31;10.17;67.00
18/05/2025 22:30;22.19;88.78;73.15;5.31;10.55;68.00
18/05/2025 22:40;22.40;88.99;68.58;5.36;11.16;69.00
18/05/2025 22:50;23.10;90.77;65.15;5.33;10.64;68.00
18/05/2025 23:00;23.05;89.39;93.05;5.31;11.09;67.00
18/05/2025 23:10;22.76;91.13;71.86;5.34;9.07;67.00
18/05/2025 23:20;22.27;89.66;90.41;5.32;10.01;67.00
18/05/2025 23:30;21.85;90.11;67.71;5.31;11.11;68.00
18/05/2025 23:40;21.13;89.01;78.74;5.36;8.71;67.00
18/05/2025 23:50;21.18;88.87;81.33;5.33;9.70;67.00
19/05/2025 0:00;20.15;81.58;50.89;5.32;11.08;78.00
19/05/2025 0:10;18.87;81.42;39.13;5.32;9.90;78.00
19/05/2025 0:20;18.29;82.24;43.15;5.30;9.09;77.00
19/05/2025 0:30;18.00;80.99;53.10;5.35;10.77;77.00
19/05/2025 0:40;18.00;80.75;28.17;5.32;10.50;78.00
19/05/2025 0:50;18.00;83.01;22.06;5.33;9.49;78.00
19/05/2025 1:00;18.00;83.17;54.32;5.32;9.84;77.00
19/05/2025 1:10;18.00;80.82;33.16;5.32;8.86;77.00
19/05/2025 1:20;18.00;83.32;42.93;5.32;8.90;77.00
19/05/2025 1:30;18.00;80.52;38.51;5.31;11.42;78.00
19/05/2025 1:40;18.00;82.07;48.94;5.31;9.18;77.00
19/05/2025 1:50;18.00;81.47;33.48;5.35;10.66;77.00
19/05/2025 2:00;18.00;82.03;49.27;5.34;10.60;77.00
19/05/2025 2:10;18.00;82.99;32.03;5.33;9.24;78.00
19/05/2025 2:20;18.00;80.40;50.03;5.31;10.16;79.00
19/05/2025 2:30;18.00;81.42;50.09;5.30;8.57;80.00
19/05/2025 2:40;18.00;82.06;40.14;5.36;11.18;81.00
19/05/2025 2:50;18.00;82.63;37.59;5.36;9.17;82.00
19/05/2025 3:00;18.00;83.16;25.50;5.36;10.64;80.00
19/05/2025 3:10;18.00;82.97;33.60;5.34;9.51;79.00
19/05/2025 3:20;18.00;81.20;28.80;5.32;9.75;78.00
19/05/2025 3:30;18.00;82.96;53.75;5.36;10.46;78.00
19/05/2025 3:40;18.00;81.09;41.16;5.36;8.60;76.00
19/05/2025 3:50;18.00;81.07;22.37;5.33;10.45;77.00
19/05/2025 4:00;18.00;85.11;23.30;5.30;9.85;77.00
19/05/2025 4:10;18.00;85.03;37.21;5.34;11.24;78.00
19/05/2025 4:20;18.00;86.01;51.71;5.33;9.51;79.00
19/05/2025 4:30;18.00;88.47;37.22;5.31;9.32;77.00
19/05/2025 4:40;18.00;85.03;26.35;5.31;9.90;76.00
19/05/2025 4:50;18.00;87.17;38.53;5.31;8.82;75.00
19/05/2025 5:00;18.00;85.44;48.81;5.38;10.01;76.00
19/05/2025 5:10;18.00;85.34;39.18;5.36;9.56;75.00
19/05/2025 5:20;18.00;85.15;40.75;5.35;11.19;75.00
19/05/2025 5:30;18.00;86.11;41.73;5.34;11.44;75.00
19/05/2025 5:40;18.00;85.68;28.00;5.32;8.79;76.00
19/05/2025 5:50;18.00;86.11;40.90;5.34;10.56;77.00
19/05/2025 6:00;18.00;88.41;50.88;5.32;11.01;78.00
19/05/2025 6:10;18.00;87.73;51.73;5.32;11.39;78.00
19/05/2025 6:20;18.00;86.18;53.99;5.30;10.92;79.00
19/05/2025 6:30;18.00;88.27;48.41;5.37;11.60;78.00
19/05/2025 6:40;18.00;86.70;23.87;5.34;10.77;79.00
19/05/2025 6:50;18.00;87.58;55.93;5.31;11.53;79.00
19/05/2025 7:00;18.00;110.00;48.63;5.33;12.11;78.00
19/05/2025 7:10;18.00;78.60;21.15;5.38;11.90;77.00
19/05/2025 7:20;18.00;80.85;25.16;5.37;11.87;76.00
19/05/2025 7:30;18.00;81.55;50.81;5.35;11.80;76.00
19/05/2025 7:40;18.00;81.19;32.58;5.34;11.80;75.00
19/05/2025 7:50;18.00;79.78;33.26;5.31;11.86;76.00
19/05/2025 8:00;18.00;80.35;55.41;5.35;13.99;75.00
19/05/2025 8:10;18.00;77.92;39.62;5.32;14.36;76.00
19/05/2025 8:20;18.00;79.77;54.69;5.31;13.31;76.00
19/05/2025 8:30;18.00;79.49;37.59;5.32;13.76;76.00
19/05/2025 8:40;18.00;80.18;26.14;5.33;14.12;76.00
19/05/2025 8:50;18.00;77.97;38.21;5.31;14.07;77.00
19/05/2025 9:00;18.00;74.90;49.05;5.33;14.32;77.00
19/05/2025 9:10;18.00;76.68;48.56;5.35;15.53;78.00
19/05/2025 9:20;18.00;76.40;0.00;5.32;15.34;77.00
19/05/2025 9:30;18.00;75.16;21.61;5.38;15.44;77.00
19/05/2025 9:40;18.00;76.67;40.14;5.34;15.39;78.00
19/05/2025 9:50;18.00;74.86;47.82;5.31;14.84;77.00
19/05/2025 10:00;18.00;73.29;36.76;5.36;16.06;77.00
19/05/2025 10:10;18.00;74.25;21.78;5.33;16.72;78.00
19/05/2025 10:20;18.00;73.59;27.02;5.31;16.65;78.00
19/05/2025 10:30;18.00;75.43;47.42;5.35;15.88;79.00
19/05/2025 10:40;18.00;75.52;47.13;5.31;16.06;79.00
19/05/2025 10:50;18.00;75.68;31.77;5.36;16.56;80.00
19/05/2025 11:00;18.00;74.08;48.14;5.34;16.84;81.00
19/05/2025 11:10;18.00;74.93;31.08;5.31;17.13;81.00
19/05/2025 11:20;18.00;73.23;51.61;5.36;16.70;81.00
19/05/2025 11:30;18.00;73.14;49.27;5.32;17.60;81.00
19/05/2025 11:40;18.00;71.73;25.94;5.31;17.16;82.00
19/05/2025 11:50;18.00;73.58;45.12;5.33;16.79;82.00
19/05/2025 12:00;18.00;73.12;52.11;5.32;17.85;81.00
19/05/2025 12:10;18.00;71.46;22.16;5.32;18.04;80.00
19/05/2025 12:20;18.00;71.10;21.26;5.31;18.13;80.00
19/05/2025 12:30;18.00;70.73;39.03;5.31;18.11;80.00
19/05/2025 12:40;18.00;72.73;44.17;5.31;17.72;80.00
19/05/2025 12:50;18.00;71.40;47.38;5.38;18.66;80.00
19/05/2025 13:00;18.00;71.08;36.68;5.34;19.45;80.00
19/05/2025 13:10;18.00;68.65;40.41;5.32;19.18;79.00
19/05/2025 13:20;18.00;70.00;21.16;5.36;19.48;79.00
19/05/2025 13:30;18.00;68.26;39.33;5.32;19.60;79.00
19/05/2025 13:40;18.00;68.80;49.45;5.33;19.68;81.00
19/05/2025 13:50;18.00;70.34;42.05;5.31;20.34;81.00
19/05/2025 14:00;18.00;69.73;27.46;5.37;20.86;82.00
19/05/2025 14:10;18.00;69.14;53.30;5.34;21.48;82.00
19/05/2025 14:20;18.00;67.55;44.84;5.32;21.36;81.00
19/05/2025 14:30;18.00;70.19;27.30;5.35;21.31;82.00
19/05/2025 14:40;18.00;68.58;36.96;5.34;20.67;81.00
19/05/2025 14:50;18.00;68.55;44.66;5.33;21.08;81.00
19/05/2025 15:00;18.00;66.45;39.10;5.31;20.33;81.00
19/05/2025 15:10;18.00;66.95;28.61;5.32;20.43;82.00
19/05/2025 15:20;18.00;67.65;23.85;5.31;20.74;83.00
19/05/2025 15:30;18.00;3.77;50.23;5.36;20.00;83.00
19/05/2025 15:40;18.00;66.10;32.08;5.33;19.84;84.00
19/05/2025 15:50;18.00;64.72;35.71;5.32;20.68;83.00
19/05/2025 16:00;18.00;65.54;36.51;5.31;19.82;82.00
19/05/2025 16:10;18.00;66.44;37.42;5.37;20.07;82.00
19/05/2025 16:20;18.00;63.95;41.11;5.36;19.43;81.00
19/05/2025 16:30;18.00;63.82;27.13;5.34;19.28;81.00
19/05/2025 16:40;18.00;66.46;39.86;5.30;19.52;83.00
19/05/2025 16:50;18.00;63.51;37.30;5.34;19.40;81.00
19/05/2025 17:00;18.00;62.03;29.71;5.32;19.01;81.00
19/05/2025 17:10;18.00;62.07;21.82;5.35;18.88;81.00
19/05/2025 17:20;18.00;63.54;48.15;5.33;19.13;82.00
19/05/2025 17:30;18.00;63.72;49.09;5.36;19.37;83.00
19/05/2025 17:40;18.00;61.17;35.93;5.34;19.32;84.00
19/05/2025 17:50;18.00;65.03;53.51;5.30;19.14;83.00
19/05/2025 18:00;18.00;61.26;37.12;5.37;17.89;85.00
19/05/2025 18:10;18.00;61.68;31.01;5.36;18.16;86.00
19/05/2025 18:20;18.00;60.72;21.65;5.35;18.40;85.00
19/05/2025 18:30;18.00;61.61;51.46;5.33;17.77;85.00
19/05/2025 18:40;18.00;60.21;51.54;5.31;18.50;86.00
19/05/2025 18:50;18.00;61.62;51.71;5.31;18.01;86.00
19/05/2025 19:00;18.00;80.95;45.47;5.36;9.45;87.00
19/05/2025 19:10;18.00;82.04;45.47;5.34;8.73;87.00
19/05/2025 19:20;18.00;82.87;45.85;5.31;8.78;86.00
19/05/2025 19:30;18.00;82.34;55.59;5.36;10.55;85.00
19/05/2025 19:40;18.00;83.34;33.70;5.34;10.02;86.00
19/05/2025 19:50;18.00;80.47;50.84;5.33;9.95;85.00
19/05/2025 20:00;18.00;80.49;31.97;5.33;11.32;85.00
19/05/2025 20:10;18.00;81.85;34.67;5.32;10.62;84.00
19/05/2025 20:20;18.00;81.40;39.40;5.30;11.15;85.00
19/05/2025 20:30;18.00;82.58;21.11;5.33;9.45;86.00
19/05/2025 20:40;18.00;82.53;44.69;5.32;11.15;85.00
19/05/2025 20:50;18.00;82.01;44.72;5.31;9.34;84.00
19/05/2025 21:00;18.00;83.35;43.06;5.34;8.60;85.00
19/05/2025 21:10;18.00;82.18;44.11;5.33;9.52;86.00
19/05/2025 21:20;18.00;80.56;29.97;5.31;11.20;85.00
19/05/2025 21:30;18.00;80.64;23.08;5.37;11.42;86.00
19/05/2025 21:40;18.00;81.94;55.26;5.35;9.89;87.00
19/05/2025 21:50;18.00;4.86;41.31;5.34;9.83;87.00
19/05/2025 22:00;18.00;81.84;45.27;5.33;10.06;86.00
19/05/2025 22:10;18.00;81.80;51.63;5.30;9.56;86.00
19/05/2025 22:20;18.00;82.08;50.72;5.32;11.34;85.00
19/05/2025 22:30;18.00;81.57;53.16;5.31;9.56;85.00
19/05/2025 22:40;18.00;81.75;25.75;5.30;8.98;85.00
19/05/2025 22:50;18.00;83.18;22.42;5.34;10.51;86.00
19/05/2025 23:00;18.00;80.65;52.65;5.33;8.98;85.00
19/05/2025 23:10;18.00;82.54;22.18;5.32;11.37;84.00
19/05/2025 23:20;18.00;82.93;39.07;5.31;10.19;85.00
19/05/2025 23:30;18.00;80.65;45.46;5.31;9.17;86.00
19/05/2025 23:40;18.00;83.14;21.34;5.30;10.77;85.00
19/05/2025 23:50;18.00;80.86;44.26;5.31;11.24;86.00
20/05/2025 0:00;18.00;91.62;78.35;5.34;10.20;79.00
20/05/2025 0:10;18.00;90.89;77.50;5.31;8.72;78.00
20/05/2025 0:20;18.00;91.80;45.57;5.37;8.81;77.00
20/05/2025 0:30;18.00;90.61;66.24;5.35;8.66;77.00
20/05/2025 0:40;18.25;90.11;68.27;5.34;10.61;77.00
20/05/2025 0:50;18.00;90.58;50.03;5.31;10.51;77.00
20/05/2025 1:00;18.71;89.74;77.55;5.31;10.19;77.00
20/05/2025 1:10;18.96;90.26;72.39;5.37;9.48;76.00
20/05/2025 1:20;19.84;90.26;79.52;5.36;8.90;77.00
20/05/2025 1:30;19.97;91.09;71.10;5.33;10.26;78.00
20/05/2025 1:40;19.91;92.36;51.75;5.32;8.57;77.00
20/05/2025 1:50;19.38;91.52;49.10;5.38;9.81;76.00
20/05/2025 2:00;19.59;92.32;76.78;5.36;11.39;77.00
20/05/2025 2:10;20.22;90.10;67.98;5.36;10.68;78.00
20/05/2025 2:20;20.99;90.00;66.37;5.34;8.51;77.00
20/05/2025 2:30;20.13;89.68;46.18;5.33;11.03;77.00
20/05/2025 2:40;20.14;90.37;52.82;5.32;10.82;77.00
20/05/2025 2:50;20.17;92.17;77.74;5.32;9.61;75.00
20/05/2025 3:00;20.89;92.28;61.54;5.30;9.86;74.00
20/05/2025 3:10;20.63;110.00;45.00;5.36;8.68;73.00
20/05/2025 3:20;21.36;90.41;51.86;5.34;11.13;72.00
20/05/2025 3:30;21.36;92.22;52.38;5.33;10.29;72.00
20/05/2025 3:40;20.37;91.21;71.97;5.30;8.73;70.00
20/05/2025 3:50;19.59;91.04;75.65;5.37;11.33;71.00
20/05/2025 4:00;18.83;95.20;69.76;5.55;11.19;71.00
20/05/2025 4:10;19.76;94.78;54.85;5.78;8.91;69.00
20/05/2025 4:20;18.93;94.88;79.86;6.10;8.70;68.00
20/05/2025 4:30;18.59;94.43;83.85;6.48;10.21;69.00
20/05/2025 4:40;19.50;94.40;134.11;6.91;8.96;71.00
20/05/2025 4:50;18.67;97.89;131.42;7.31;9.57;72.00
20/05/2025 5:00;18.36;96.69;130.49;7.53;8.64;70.00
20/05/2025 5:10;18.54;94.91;156.89;7.80;9.26;72.00
20/05/2025 5:20;18.00;96.16;89.94;8.24;8.62;72.00
20/05/2025 5:30;18.00;94.33;102.96;8.50;10.88;73.00
20/05/2025 5:40;18.00;96.43;81.61;8.50;10.71;72.00
20/05/2025 5:50;18.47;94.51;104.05;8.50;9.29;72.00
20/05/2025 6:00;18.89;95.13;88.47;8.50;11.89;73.00
20/05/2025 6:10;18.17;95.61;102.12;8.50;11.92;74.00
20/05/2025 6:20;18.43;96.85;107.98;8.50;10.80;75.00
20/05/2025 6:30;18.00;97.44;79.63;8.50;10.59;76.00
20/05/2025 6:40;18.00;94.59;95.08;8.50;11.16;75.00
20/05/2025 6:50;18.00;95.74;90.08;8.50;10.80;77.00
20/05/2025 7:00;18.83;110.00;92.11;8.48;13.10;77.00
20/05/2025 7:10;18.68;89.07;89.88;8.45;12.18;78.00
20/05/2025 7:20;18.70;89.24;83.07;8.44;12.27;78.00
20/05/2025 7:30;19.26;87.64;76.47;8.41;11.79;77.00
20/05/2025 7:40;18.81;87.65;109.65;8.39;12.60;77.00
20/05/2025 7:50;19.31;87.45;109.13;8.37;12.26;78.00
20/05/2025 8:00;19.38;88.05;80.34;8.33;13.37;77.00
20/05/2025 8:10;20.25;88.94;99.99;8.30;13.07;78.00
20/05/2025 8:20;19.71;89.21;75.13;8.29;14.38;78.00
20/05/2025 8:30;19.47;88.73;109.82;8.25;12.95;76.00
20/05/2025 8:40;19.67;88.22;90.44;8.23;13.26;76.00
20/05/2025 8:50;19.91;87.25;136.23;8.19;14.21;78.00
20/05/2025 9:00;19.44;86.90;140.99;8.17;15.41;78.00
20/05/2025 9:10;18.61;84.20;101.14;8.14;14.17;79.00
20/05/2025 9:20;18.01;85.34;155.12;8.13;14.92;79.00
20/05/2025 9:30;18.00;84.91;78.49;8.09;15.38;78.00
20/05/2025 9:40;18.59;85.13;128.99;8.05;14.17;78.00
20/05/2025 9:50;18.82;85.08;154.72;8.04;15.05;79.00
20/05/2025 10:00;18.95;83.43;109.76;8.02;15.47;78.00
20/05/2025 10:10;18.21;83.02;103.93;8.01;15.41;77.00
20/05/2025 10:20;18.72;82.64;97.04;7.99;16.39;79.00
20/05/2025 10:30;18.01;84.51;98.38;7.95;16.25;77.00
20/05/2025 10:40;18.00;85.65;154.47;7.91;15.94;77.00
20/05/2025 10:50;18.24;82.88;104.88;7.88;15.74;77.00
20/05/2025 11:00;18.16;84.60;103.27;7.86;17.09;76.00
